Date,AB SICAV I Low Volatility Eq A HKD Acc
2/26/14,144.48
2/27/14,145.14
2/28/14,145.74
3/1/14,145.74
3/2/14,145.74
3/3/14,144.19
3/4/14,146.52
3/5/14,146.59
3/6/14,147.07
3/7/14,146.82
3/8/14,146.82
3/9/14,146.82
3/10/14,146.6
3/11/14,146.32
3/12/14,146.19
3/13/14,144.82
3/14/14,144.54
3/15/14,144.54
3/16/14,144.54
3/17/14,145.62
3/18/14,146.4
3/19/14,144.97
3/20/14,145.11
3/21/14,144.91
3/22/14,144.91
3/23/14,144.91
3/24/14,144.43
3/25/14,145.12
3/26/14,145.23
3/27/14,145.53
3/28/14,146.23
3/29/14,146.23
3/30/14,146.23
3/31/14,147.6
4/1/14,147.68
4/2/14,147.98
4/3/14,147.69
4/4/14,146.98
4/5/14,146.98
4/6/14,146.98
4/7/14,145.95
4/8/14,146.15
4/9/14,147.15
4/10/14,145.21
4/11/14,143.89
4/12/14,143.89
4/13/14,143.89
4/14/14,144.83
4/15/14,145.07
4/16/14,146.4
4/17/14,146.71
4/18/14,146.71
4/19/14,146.71
4/20/14,146.71
4/21/14,146.71
4/22/14,147.54
4/23/14,147.38
4/24/14,147.39
4/25/14,147.31
4/26/14,147.31
4/27/14,147.31
4/28/14,148.23
4/29/14,149.1
4/30/14,149.94
5/1/14,149.94
5/2/14,150.0
5/3/14,150.0
5/4/14,150.0
5/5/14,149.69
5/6/14,149.38
5/7/14,149.94
5/8/14,149.99
5/9/14,149.99
5/10/14,149.99
5/11/14,149.99
5/12/14,150.85
5/13/14,151.0
5/14/14,150.54
5/15/14,150.08
5/16/14,150.55
5/17/14,150.55
5/18/14,150.55
5/19/14,150.39
5/20/14,149.62
5/21/14,151.02
5/22/14,151.11
5/23/14,151.34
5/24/14,151.34
5/25/14,151.34
5/26/14,151.34
5/27/14,151.73
5/28/14,151.35
5/29/14,151.35
5/30/14,152.43
5/31/14,152.43
6/1/14,152.43
6/2/14,152.36
6/3/14,152.26
6/4/14,152.65
6/5/14,153.11
6/6/14,153.42
6/7/14,153.42
6/8/14,153.42
6/9/14,153.42
6/10/14,153.33
6/11/14,152.86
6/12/14,152.55
