Date,Allianz Global Artfcl Intlgc AT HKD
12/8/17,10.0
12/9/17,10.0
12/10/17,10.0
12/11/17,10.0
12/12/17,10.11
12/13/17,10.06
12/14/17,10.08
12/15/17,10.04
12/16/17,10.04
12/17/17,10.04
12/18/17,10.14
12/19/17,10.29
12/20/17,10.21
12/21/17,10.19
12/22/17,10.15
12/23/17,10.15
12/24/17,10.15
12/25/17,10.15
12/26/17,10.15
12/27/17,10.03
12/28/17,10.04
12/29/17,10.03
12/30/17,10.03
12/31/17,10.03
1/1/18,10.03
1/2/18,9.96
1/3/18,10.2
1/4/18,10.36
1/5/18,10.42
1/6/18,10.42
1/7/18,10.42
1/8/18,10.51
1/9/18,10.6
1/10/18,10.53
1/11/18,10.51
1/12/18,10.6
1/13/18,10.6
1/14/18,10.6
1/15/18,10.6
1/16/18,10.7
1/17/18,10.5
1/18/18,10.65
1/19/18,10.65
1/20/18,10.65
1/21/18,10.65
1/22/18,10.73
1/23/18,10.84
1/24/18,10.93
1/25/18,10.82
1/26/18,10.75
1/27/18,10.75
1/28/18,10.75
1/29/18,10.92
1/30/18,10.88
1/31/18,10.72
2/1/18,10.81
2/2/18,10.68
2/3/18,10.68
2/4/18,10.68
2/5/18,10.47
2/6/18,10.09
2/7/18,10.38
2/8/18,10.43
2/9/18,9.97
2/10/18,9.97
2/11/18,9.97
2/12/18,10.11
2/13/18,10.21
2/14/18,10.31
2/15/18,10.65
2/16/18,10.88
2/17/18,10.88
2/18/18,10.88
2/19/18,10.88
2/20/18,10.81
2/21/18,10.87
2/22/18,10.8
2/23/18,10.76
2/24/18,10.76
2/25/18,10.76
2/26/18,10.98
2/27/18,11.13
2/28/18,11.0
3/1/18,10.97
3/2/18,10.86
3/3/18,10.86
3/4/18,10.86
3/5/18,11.09
3/6/18,11.28
3/7/18,11.33
3/8/18,11.48
3/9/18,11.52
3/10/18,11.52
3/11/18,11.52
3/12/18,11.65
3/13/18,11.8
3/14/18,11.62
3/15/18,11.67
3/16/18,11.65
3/17/18,11.65
3/18/18,11.65
3/19/18,11.6
3/20/18,11.45
3/21/18,11.53
3/22/18,11.5
3/23/18,11.19
3/24/18,11.19
3/25/18,11.19
3/26/18,11.01
3/27/18,11.23
3/28/18,10.8
3/29/18,10.55
3/30/18,10.55
3/31/18,10.55
4/1/18,10.55
4/2/18,10.55
4/3/18,10.34
4/4/18,10.38
4/5/18,10.65
4/6/18,10.58
4/7/18,10.58
4/8/18,10.58
4/9/18,10.45
4/10/18,10.48
4/11/18,10.72
4/12/18,10.73
4/13/18,10.87
4/14/18,10.87
4/15/18,10.87
4/16/18,10.81
4/17/18,10.82
4/18/18,11.05
4/19/18,11.06
4/20/18,10.92
4/21/18,10.92
4/22/18,10.92
4/23/18,10.79
4/24/18,10.74
4/25/18,10.56
4/26/18,10.44
4/27/18,10.63
