Date,Allianz US Short Dur Hi Inc Bd AM HKD
8/16/16,10.0
8/17/16,10.01
8/18/16,10.01
8/19/16,10.01
8/20/16,10.01
8/21/16,10.01
8/22/16,10.01
8/23/16,10.01
8/24/16,10.02
8/25/16,10.02
8/26/16,10.02
8/27/16,10.02
8/28/16,10.02
8/29/16,10.03
8/30/16,10.03
8/31/16,10.03
9/1/16,10.03
9/2/16,10.02
9/3/16,10.02
9/4/16,10.02
9/5/16,10.02
9/6/16,10.03
9/7/16,10.03
9/8/16,10.04
9/9/16,10.03
9/10/16,10.03
9/11/16,10.03
9/12/16,10.03
9/13/16,10.03
9/14/16,10.02
9/15/16,9.99
9/16/16,9.99
9/17/16,9.99
9/18/16,9.99
9/19/16,9.99
9/20/16,9.98
9/21/16,9.98
9/22/16,9.99
9/23/16,10.01
9/24/16,10.01
9/25/16,10.01
9/26/16,10.01
9/27/16,10.01
9/28/16,10.01
9/29/16,10.01
9/30/16,10.02
10/1/16,10.02
10/2/16,10.02
10/3/16,10.03
10/4/16,10.03
10/5/16,10.04
10/6/16,10.05
10/7/16,10.04
10/8/16,10.04
10/9/16,10.04
10/10/16,10.05
10/11/16,10.05
10/12/16,10.05
10/13/16,10.04
10/14/16,10.04
10/15/16,10.04
10/16/16,10.04
10/17/16,10.01
10/18/16,10.0
10/19/16,10.01
10/20/16,10.02
10/21/16,10.03
10/22/16,10.03
10/23/16,10.03
10/24/16,10.03
10/25/16,10.03
10/26/16,10.02
10/27/16,10.0
10/28/16,10.0
10/29/16,10.0
10/30/16,10.0
10/31/16,9.99
11/1/16,9.99
11/2/16,9.97
11/3/16,9.97
11/4/16,9.97
11/5/16,9.97
11/6/16,9.97
11/7/16,9.97
11/8/16,9.98
11/9/16,9.98
11/10/16,9.95
11/11/16,9.93
11/12/16,9.93
11/13/16,9.93
11/14/16,9.94
11/15/16,9.86
11/16/16,9.87
11/17/16,9.87
11/18/16,9.88
11/19/16,9.88
11/20/16,9.88
11/21/16,9.88
11/22/16,9.89
11/23/16,9.91
11/24/16,9.91
11/25/16,9.91
11/26/16,9.91
11/27/16,9.91
11/28/16,9.92
11/29/16,9.92
11/30/16,9.92
12/1/16,9.92
12/2/16,9.91
12/3/16,9.91
12/4/16,9.91
12/5/16,9.91
12/6/16,9.93
12/7/16,9.94
