Date,CSOP Select US Dollar Bd A HKD Acc
12/1/15,10.0
12/2/15,10.0
12/3/15,9.99
12/4/15,9.99
12/5/15,9.99
12/6/15,9.99
12/7/15,9.99
12/8/15,9.99
12/9/15,9.99
12/10/15,9.99
12/11/15,9.99
12/12/15,9.99
12/13/15,9.99
12/14/15,9.99
12/15/15,9.97
12/16/15,9.96
12/17/15,9.97
12/18/15,9.98
12/19/15,9.98
12/20/15,9.98
12/21/15,9.98
12/22/15,9.98
12/23/15,9.98
12/24/15,9.98
12/25/15,9.98
12/26/15,9.98
12/27/15,9.98
12/28/15,9.98
12/29/15,9.97
12/30/15,9.98
12/31/15,9.99
1/1/16,9.99
1/2/16,9.99
1/3/16,9.99
1/4/16,9.99
1/5/16,10.0
1/6/16,10.02
1/7/16,10.01
1/8/16,10.03
1/9/16,10.03
1/10/16,10.03
1/11/16,10.02
1/12/16,10.02
1/13/16,10.03
1/14/16,10.05
1/15/16,10.06
1/16/16,10.06
1/17/16,10.06
1/18/16,10.06
1/19/16,10.07
1/20/16,10.09
1/21/16,10.07
1/22/16,10.03
1/23/16,10.03
1/24/16,10.03
1/25/16,10.05
1/26/16,10.04
1/27/16,10.02
1/28/16,10.04
1/29/16,10.05
1/30/16,10.05
1/31/16,10.05
2/1/16,10.05
2/2/16,10.06
2/3/16,10.06
2/4/16,10.05
2/5/16,10.05
2/6/16,10.05
2/7/16,10.05
2/8/16,10.05
2/9/16,10.05
2/10/16,10.05
2/11/16,10.02
2/12/16,9.99
2/13/16,9.99
2/14/16,9.99
2/15/16,10.0
2/16/16,10.02
2/17/16,10.02
2/18/16,10.03
2/19/16,10.02
2/20/16,10.02
2/21/16,10.02
2/22/16,10.02
2/23/16,10.02
2/24/16,9.99
2/25/16,10.0
2/26/16,9.99
2/27/16,9.99
2/28/16,9.99
2/29/16,10.01
3/1/16,10.0
3/2/16,10.01
3/3/16,10.02
3/4/16,10.01
3/5/16,10.01
3/6/16,10.01
3/7/16,10.02
3/8/16,10.03
3/9/16,10.03
3/10/16,10.03
3/11/16,10.04
3/12/16,10.04
3/13/16,10.04
3/14/16,10.05
3/15/16,10.05
3/16/16,10.06
3/17/16,10.08
3/18/16,10.09
3/19/16,10.09
3/20/16,10.09
3/21/16,10.08
3/22/16,10.08
3/23/16,10.09
3/24/16,10.1
3/25/16,10.1
3/26/16,10.1
3/27/16,10.1
3/28/16,10.1
3/29/16,10.12
3/30/16,10.13
3/31/16,10.15
4/1/16,10.16
4/2/16,10.16
4/3/16,10.16
4/4/16,10.16
4/5/16,10.18
4/6/16,10.17
4/7/16,10.18
4/8/16,10.19
4/9/16,10.19
4/10/16,10.19
4/11/16,10.19
4/12/16,10.18
4/13/16,10.2
4/14/16,10.21
4/15/16,10.22
4/16/16,10.22
4/17/16,10.22
4/18/16,10.22
4/19/16,10.22
4/20/16,10.21
4/21/16,10.2
4/22/16,10.19
4/23/16,10.19
4/24/16,10.19
4/25/16,10.18
4/26/16,10.17
4/27/16,10.19
4/28/16,10.21
4/29/16,10.21
4/30/16,10.21
5/1/16,10.21
5/2/16,10.21
5/3/16,10.22
5/4/16,10.21
5/5/16,10.22
5/6/16,10.22
5/7/16,10.22
5/8/16,10.22
5/9/16,10.23
5/10/16,10.23
5/11/16,10.22
5/12/16,10.22
5/13/16,10.24
5/14/16,10.24
5/15/16,10.24
5/16/16,10.24
5/17/16,10.23
5/18/16,10.23
5/19/16,10.22
5/20/16,10.23
5/21/16,10.23
5/22/16,10.23
5/23/16,10.24
5/24/16,10.24
5/25/16,10.24
5/26/16,10.25
5/27/16,10.25
5/28/16,10.25
5/29/16,10.25
5/30/16,10.26
5/31/16,10.25
6/1/16,10.26
6/2/16,10.26
6/3/16,10.29
6/4/16,10.29
6/5/16,10.29
6/6/16,10.29
6/7/16,10.3
6/8/16,10.3
6/9/16,10.3
6/10/16,10.31
6/11/16,10.31
6/12/16,10.31
6/13/16,10.3
6/14/16,10.28
6/15/16,10.29
6/16/16,10.29
6/17/16,10.29
6/18/16,10.29
6/19/16,10.29
6/20/16,10.3
6/21/16,10.3
6/22/16,10.31
6/23/16,10.3
6/24/16,10.32
6/25/16,10.32
6/26/16,10.32
6/27/16,10.33
6/28/16,10.34
6/29/16,10.37
6/30/16,10.38
7/1/16,10.38
7/2/16,10.38
7/3/16,10.38
7/4/16,10.41
7/5/16,10.43
7/6/16,10.44
7/7/16,10.44
7/8/16,10.44
7/9/16,10.44
7/10/16,10.44
7/11/16,10.45
7/12/16,10.44
7/13/16,10.45
7/14/16,10.45
7/15/16,10.44
7/16/16,10.44
7/17/16,10.44
7/18/16,10.43
7/19/16,10.44
7/20/16,10.44
7/21/16,10.45
7/22/16,10.47
7/23/16,10.47
7/24/16,10.47
7/25/16,10.47
7/26/16,10.48
7/27/16,10.48
7/28/16,10.5
7/29/16,10.51
7/30/16,10.51
7/31/16,10.51
8/1/16,10.52
8/2/16,10.52
8/3/16,10.5
8/4/16,10.51
8/5/16,10.51
8/6/16,10.51
8/7/16,10.51
8/8/16,10.52
8/9/16,10.53
8/10/16,10.55
8/11/16,10.55
8/12/16,10.56
8/13/16,10.56
8/14/16,10.56
8/15/16,10.57
8/16/16,10.57
8/17/16,10.57
8/18/16,10.58
8/19/16,10.57
8/20/16,10.57
8/21/16,10.57
8/22/16,10.58
8/23/16,10.58
8/24/16,10.59
8/25/16,10.58
8/26/16,10.57
8/27/16,10.57
8/28/16,10.57
8/29/16,10.58
8/30/16,10.57
8/31/16,10.56
