Date,ChinaAMC Select Fixed Inc Allc A HKD Acc
8/2/19,10.0
8/3/19,10.0
8/4/19,10.0
8/5/19,10.01
8/6/19,10.0
8/7/19,10.01
8/8/19,10.02
8/9/19,10.02
8/10/19,10.02
8/11/19,10.02
8/12/19,10.03
8/13/19,10.02
8/14/19,10.03
8/15/19,10.02
8/16/19,10.02
8/17/19,10.02
8/18/19,10.02
8/19/19,10.02
8/20/19,10.03
8/21/19,10.03
8/22/19,10.03
8/23/19,10.04
8/24/19,10.04
8/25/19,10.04
8/26/19,10.04
8/27/19,10.04
8/28/19,10.04
8/29/19,10.05
8/30/19,10.04
8/31/19,10.04
9/1/19,10.04
9/2/19,10.05
9/3/19,10.05
9/4/19,10.04
9/5/19,10.04
9/6/19,10.04
9/7/19,10.04
9/8/19,10.04
9/9/19,10.05
9/10/19,10.05
9/11/19,10.05
9/12/19,10.04
9/13/19,10.04
9/14/19,10.04
9/15/19,10.04
9/16/19,10.04
9/17/19,10.04
9/18/19,10.05
9/19/19,10.05
9/20/19,10.06
9/21/19,10.06
9/22/19,10.06
9/23/19,10.07
9/24/19,10.07
9/25/19,10.06
9/26/19,10.07
9/27/19,10.07
9/28/19,10.07
9/29/19,10.07
9/30/19,10.07
10/1/19,10.07
10/2/19,10.08
10/3/19,10.08
10/4/19,10.08
10/5/19,10.08
10/6/19,10.08
10/7/19,10.08
10/8/19,10.09
10/9/19,10.09
10/10/19,10.09
10/11/19,10.09
10/12/19,10.09
10/13/19,10.09
10/14/19,10.09
10/15/19,10.1
10/16/19,10.11
10/17/19,10.11
10/18/19,10.11
10/19/19,10.11
10/20/19,10.11
10/21/19,10.11
10/22/19,10.12
10/23/19,10.12
10/24/19,10.12
10/25/19,10.12
10/26/19,10.12
10/27/19,10.12
10/28/19,10.12
10/29/19,10.13
10/30/19,10.13
10/31/19,10.12
11/1/19,10.12
11/2/19,10.12
11/3/19,10.12
11/4/19,10.13
11/5/19,10.12
11/6/19,10.12
11/7/19,10.12
11/8/19,10.12
11/9/19,10.12
11/10/19,10.12
11/11/19,10.13
11/12/19,10.12
11/13/19,10.13
11/14/19,10.13
11/15/19,10.13
11/16/19,10.13
11/17/19,10.13
11/18/19,10.13
11/19/19,10.13
11/20/19,10.13
11/21/19,10.12
11/22/19,10.13
11/23/19,10.13
11/24/19,10.13
11/25/19,10.13
11/26/19,10.13
11/27/19,10.14
11/28/19,10.14
11/29/19,10.14
11/30/19,10.14
12/1/19,10.14
12/2/19,10.14
12/3/19,10.14
12/4/19,10.14
12/5/19,10.12
12/6/19,10.11
12/7/19,10.11
12/8/19,10.11
12/9/19,10.09
12/10/19,10.08
12/11/19,10.07
12/12/19,10.06
12/13/19,10.06
12/14/19,10.06
12/15/19,10.06
12/16/19,10.06
12/17/19,10.06
12/18/19,10.06
12/19/19,10.07
12/20/19,10.07
12/21/19,10.07
12/22/19,10.07
12/23/19,10.06
12/24/19,10.07
12/25/19,10.07
12/26/19,10.07
12/27/19,10.07
12/28/19,10.07
12/29/19,10.07
12/30/19,10.07
12/31/19,10.07
1/1/20,10.07
1/2/20,10.09
1/3/20,10.09
1/4/20,10.09
1/5/20,10.09
1/6/20,10.08
1/7/20,10.09
1/8/20,10.09
1/9/20,10.08
1/10/20,10.09
1/11/20,10.09
1/12/20,10.09
1/13/20,10.1
1/14/20,10.11
1/15/20,10.11
1/16/20,10.11
1/17/20,10.11
1/18/20,10.11
1/19/20,10.11
1/20/20,10.12
1/21/20,10.12
1/22/20,10.13
1/23/20,10.13
1/24/20,10.13
1/25/20,10.13
1/26/20,10.13
1/27/20,10.13
1/28/20,10.13
1/29/20,10.13
1/30/20,10.11
1/31/20,10.12
2/1/20,10.12
2/2/20,10.12
2/3/20,10.12
2/4/20,10.12
2/5/20,10.12
2/6/20,10.12
2/7/20,10.13
2/8/20,10.13
2/9/20,10.13
2/10/20,10.14
2/11/20,10.14
2/12/20,10.15
2/13/20,10.15
2/14/20,10.16
2/15/20,10.16
2/16/20,10.16
2/17/20,10.16
2/18/20,10.17
2/19/20,10.17
2/20/20,10.19
2/21/20,10.2
2/22/20,10.2
2/23/20,10.2
2/24/20,10.21
2/25/20,10.21
2/26/20,10.21
2/27/20,10.2
2/28/20,10.2
2/29/20,10.2
3/1/20,10.2
3/2/20,10.18
3/3/20,10.19
3/4/20,10.18
3/5/20,10.19
3/6/20,10.19
3/7/20,10.19
3/8/20,10.19
3/9/20,10.17
3/10/20,10.15
3/11/20,10.15
3/12/20,10.12
3/13/20,10.06
3/14/20,10.06
3/15/20,10.06
3/16/20,10.02
3/17/20,9.95
3/18/20,9.87
3/19/20,9.79
3/20/20,9.78
3/21/20,9.78
3/22/20,9.78
3/23/20,9.75
3/24/20,9.75
3/25/20,9.8
3/26/20,9.86
3/27/20,9.93
3/28/20,9.93
3/29/20,9.93
3/30/20,9.91
3/31/20,9.92
4/1/20,9.93
4/2/20,9.94
4/3/20,9.94
4/4/20,9.94
4/5/20,9.94
4/6/20,9.94
4/7/20,9.94
4/8/20,9.93
4/9/20,9.96
4/10/20,9.96
4/11/20,9.96
4/12/20,9.96
4/13/20,9.96
4/14/20,9.98
4/15/20,10.0
4/16/20,10.02
4/17/20,10.03
4/18/20,10.03
4/19/20,10.03
4/20/20,10.04
4/21/20,10.03
4/22/20,10.03
4/23/20,10.04
4/24/20,10.04
4/25/20,10.04
4/26/20,10.04
4/27/20,10.05
4/28/20,10.05
4/29/20,10.06
4/30/20,10.06
5/1/20,10.06
5/2/20,10.06
5/3/20,10.06
5/4/20,10.07
5/5/20,10.07
5/6/20,10.08
5/7/20,10.09
5/8/20,10.09
5/9/20,10.09
5/10/20,10.09
5/11/20,10.1
5/12/20,10.1
5/13/20,10.11
5/14/20,10.13
5/15/20,10.13
5/16/20,10.13
5/17/20,10.13
5/18/20,10.14
5/19/20,10.15
5/20/20,10.17
5/21/20,10.19
5/22/20,10.19
5/23/20,10.19
5/24/20,10.19
5/25/20,10.19
5/26/20,10.19
5/27/20,10.2
5/28/20,10.2
5/29/20,10.21
5/30/20,10.21
5/31/20,10.21
6/1/20,10.21
6/2/20,10.23
6/3/20,10.24
6/4/20,10.24
6/5/20,10.26
6/6/20,10.26
6/7/20,10.26
6/8/20,10.28
6/9/20,10.28
6/10/20,10.28
6/11/20,10.28
6/12/20,10.28
6/13/20,10.28
6/14/20,10.28
6/15/20,10.28
6/16/20,10.29
6/17/20,10.3
6/18/20,10.31
6/19/20,10.32
6/20/20,10.32
6/21/20,10.32
6/22/20,10.32
6/23/20,10.32
6/24/20,10.32
6/25/20,10.32
6/26/20,10.33
6/27/20,10.33
6/28/20,10.33
6/29/20,10.33
6/30/20,10.33
7/1/20,10.33
7/2/20,10.34
7/3/20,10.34
7/4/20,10.34
7/5/20,10.34
7/6/20,10.35
7/7/20,10.36
7/8/20,10.36
7/9/20,10.37
7/10/20,10.37
7/11/20,10.37
7/12/20,10.37
7/13/20,10.38
7/14/20,10.38
7/15/20,10.38
7/16/20,10.39
7/17/20,10.4
7/18/20,10.4
7/19/20,10.4
7/20/20,10.4
7/21/20,10.42
7/22/20,10.42
7/23/20,10.43
7/24/20,10.43
7/25/20,10.43
7/26/20,10.43
7/27/20,10.43
7/28/20,10.43
7/29/20,10.44
7/30/20,10.44
7/31/20,10.45
8/1/20,10.45
8/2/20,10.45
8/3/20,10.46
8/4/20,10.47
8/5/20,10.48
8/6/20,10.49
8/7/20,10.49
8/8/20,10.49
8/9/20,10.49
8/10/20,10.49
8/11/20,10.49
8/12/20,10.49
8/13/20,10.49
8/14/20,10.48
8/15/20,10.48
8/16/20,10.48
8/17/20,10.48
8/18/20,10.48
8/19/20,10.49
8/20/20,10.49
