Date,E Fund (HK) Grtr Chn Leaders A HKD Acc
8/4/20,101.96
8/5/20,103.85
8/6/20,104.73
8/7/20,101.01
8/8/20,101.01
8/9/20,101.01
8/10/20,98.6
8/11/20,98.7
8/12/20,97.9
8/13/20,98.49
8/14/20,97.62
8/15/20,97.62
8/16/20,97.62
8/17/20,98.64
8/18/20,100.75
8/19/20,99.2
8/20/20,99.04
8/21/20,100.29
8/22/20,100.29
8/23/20,100.29
8/24/20,103.19
8/25/20,103.02
8/26/20,103.47
8/27/20,104.94
8/28/20,105.38
8/29/20,105.38
8/30/20,105.38
8/31/20,104.23
9/1/20,106.6
9/2/20,107.93
9/3/20,105.13
9/4/20,103.3
9/5/20,103.3
9/6/20,103.3
9/7/20,101.53
9/8/20,100.31
9/9/20,99.23
9/10/20,98.42
9/11/20,100.99
9/12/20,100.99
9/13/20,100.99
9/14/20,103.9
9/15/20,105.22
9/16/20,106.42
9/17/20,104.94
9/18/20,105.8
9/19/20,105.8
9/20/20,105.8
9/21/20,103.21
9/22/20,103.15
9/23/20,104.33
9/24/20,101.51
9/25/20,100.37
9/26/20,100.37
9/27/20,100.37
9/28/20,101.78
9/29/20,102.24
9/30/20,103.76
10/1/20,103.76
10/2/20,103.76
10/3/20,103.76
10/4/20,103.76
10/5/20,105.5
10/6/20,107.5
10/7/20,108.99
10/8/20,109.53
10/9/20,111.32
10/10/20,111.32
10/11/20,111.32
10/12/20,112.33
10/13/20,112.33
10/14/20,111.87
10/15/20,109.06
10/16/20,109.16
10/17/20,109.16
10/18/20,109.16
10/19/20,106.6
10/20/20,108.55
10/21/20,106.74
10/22/20,105.38
10/23/20,104.44
10/24/20,104.44
10/25/20,104.44
10/26/20,104.44
10/27/20,104.47
10/28/20,105.86
10/29/20,107.62
10/30/20,105.23
10/31/20,105.23
11/1/20,105.23
11/2/20,106.14
11/3/20,106.79
11/4/20,108.16
