Date,E Fund (HK) HKD Mny Mkt B HKD Acc
1/23/19,"1,000.00"
1/24/19,"1,000.05"
1/25/19,"1,000.05"
1/26/19,"1,000.05"
1/27/19,"1,000.05"
1/28/19,"1,000.05"
1/29/19,"1,001.04"
1/30/19,"1,001.08"
1/31/19,"1,001.12"
2/1/19,"1,001.17"
2/2/19,"1,001.17"
2/3/19,"1,001.17"
2/4/19,"1,001.28"
2/5/19,"1,001.28"
2/6/19,"1,001.28"
2/7/19,"1,001.28"
2/8/19,"1,001.40"
2/9/19,"1,001.40"
2/10/19,"1,001.40"
2/11/19,"1,001.49"
2/12/19,"1,001.52"
2/13/19,"1,001.55"
2/14/19,"1,001.57"
2/15/19,"1,001.60"
2/16/19,"1,001.60"
2/17/19,"1,001.60"
2/18/19,"1,001.69"
2/19/19,"1,001.72"
2/20/19,"1,001.76"
2/21/19,"1,001.79"
2/22/19,"1,001.82"
2/23/19,"1,001.82"
2/24/19,"1,001.82"
2/25/19,"1,001.91"
2/26/19,"1,001.94"
2/27/19,"1,001.96"
2/28/19,"1,001.99"
3/1/19,"1,002.01"
3/2/19,"1,002.01"
3/3/19,"1,002.01"
3/4/19,"1,002.09"
3/5/19,"1,002.12"
3/6/19,"1,002.15"
3/7/19,"1,002.18"
3/8/19,"1,002.20"
3/9/19,"1,002.20"
3/10/19,"1,002.20"
3/11/19,"1,002.28"
3/12/19,"1,002.31"
3/13/19,"1,002.33"
3/14/19,"1,002.36"
3/15/19,"1,002.38"
3/16/19,"1,002.38"
3/17/19,"1,002.38"
3/18/19,"1,002.47"
3/19/19,"1,002.49"
3/20/19,"1,002.52"
3/21/19,"1,002.55"
3/22/19,"1,002.58"
3/23/19,"1,002.58"
3/24/19,"1,002.58"
3/25/19,"1,002.67"
3/26/19,"1,002.72"
3/27/19,"1,002.68"
3/28/19,"1,002.71"
3/29/19,"1,002.75"
3/30/19,"1,002.75"
3/31/19,"1,002.75"
4/1/19,"1,002.86"
4/2/19,"1,002.90"
4/3/19,"1,002.93"
4/4/19,"1,002.95"
4/5/19,"1,002.95"
4/6/19,"1,002.95"
4/7/19,"1,002.95"
4/8/19,"1,003.10"
4/9/19,"1,003.13"
4/10/19,"1,003.17"
4/11/19,"1,003.21"
4/12/19,"1,003.26"
4/13/19,"1,003.26"
4/14/19,"1,003.26"
4/15/19,"1,003.38"
4/16/19,"1,003.42"
4/17/19,"1,003.46"
4/18/19,"1,003.50"
4/19/19,"1,003.50"
4/20/19,"1,003.50"
4/21/19,"1,003.50"
4/22/19,"1,003.50"
4/23/19,"1,003.69"
4/24/19,"1,003.72"
4/25/19,"1,003.75"
4/26/19,"1,003.80"
4/27/19,"1,003.80"
4/28/19,"1,003.80"
4/29/19,"1,003.93"
4/30/19,"1,003.97"
5/1/19,"1,003.97"
5/2/19,"1,004.06"
5/3/19,"1,004.10"
5/4/19,"1,004.10"
5/5/19,"1,004.10"
5/6/19,"1,004.22"
5/7/19,"1,004.27"
5/8/19,"1,004.30"
5/9/19,"1,004.34"
5/10/19,"1,004.38"
5/11/19,"1,004.38"
5/12/19,"1,004.38"
5/13/19,"1,004.38"
5/14/19,"1,004.55"
5/15/19,"1,004.59"
5/16/19,"1,004.63"
5/17/19,"1,004.67"
5/18/19,"1,004.67"
5/19/19,"1,004.67"
5/20/19,"1,004.79"
5/21/19,"1,004.83"
5/22/19,"1,004.88"
5/23/19,"1,004.92"
5/24/19,"1,004.96"
5/25/19,"1,004.96"
5/26/19,"1,004.96"
5/27/19,"1,005.09"
5/28/19,"1,005.13"
5/29/19,"1,005.18"
5/30/19,"1,005.22"
5/31/19,"1,005.26"
6/1/19,"1,005.26"
6/2/19,"1,005.26"
6/3/19,"1,005.38"
6/4/19,"1,005.45"
6/5/19,"1,005.49"
6/6/19,"1,005.53"
6/7/19,"1,005.53"
6/8/19,"1,005.53"
6/9/19,"1,005.53"
6/10/19,"1,005.70"
6/11/19,"1,005.74"
6/12/19,"1,005.78"
6/13/19,"1,005.83"
6/14/19,"1,005.87"
6/15/19,"1,005.87"
6/16/19,"1,005.87"
6/17/19,"1,006.02"
6/18/19,"1,006.06"
6/19/19,"1,006.12"
6/20/19,"1,006.17"
6/21/19,"1,006.22"
6/22/19,"1,006.22"
6/23/19,"1,006.22"
6/24/19,"1,006.37"
6/25/19,"1,006.42"
6/26/19,"1,006.48"
6/27/19,"1,006.53"
6/28/19,"1,006.58"
6/29/19,"1,006.58"
6/30/19,"1,006.58"
7/1/19,"1,006.58"
7/2/19,"1,006.81"
7/3/19,"1,006.86"
7/4/19,"1,006.92"
7/5/19,"1,006.98"
7/6/19,"1,006.98"
7/7/19,"1,006.98"
7/8/19,"1,007.16"
7/9/19,"1,007.23"
7/10/19,"1,007.29"
7/11/19,"1,007.35"
7/12/19,"1,007.41"
7/13/19,"1,007.41"
7/14/19,"1,007.41"
7/15/19,"1,007.60"
7/16/19,"1,007.66"
7/17/19,"1,007.72"
7/18/19,"1,007.78"
7/19/19,"1,007.83"
7/20/19,"1,007.83"
7/21/19,"1,007.83"
7/22/19,"1,008.00"
7/23/19,"1,008.06"
7/24/19,"1,008.11"
7/25/19,"1,008.17"
7/26/19,"1,008.22"
7/27/19,"1,008.22"
7/28/19,"1,008.22"
7/29/19,"1,008.39"
7/30/19,"1,008.44"
7/31/19,"1,008.44"
8/1/19,"1,008.54"
8/2/19,"1,008.59"
8/3/19,"1,008.59"
8/4/19,"1,008.59"
8/5/19,"1,008.74"
8/6/19,"1,008.78"
8/7/19,"1,008.84"
8/8/19,"1,008.89"
8/9/19,"1,008.94"
8/10/19,"1,008.94"
8/11/19,"1,008.94"
8/12/19,"1,009.09"
8/13/19,"1,009.14"
8/14/19,"1,009.19"
8/15/19,"1,009.23"
8/16/19,"1,009.28"
8/17/19,"1,009.28"
8/18/19,"1,009.28"
8/19/19,"1,009.44"
8/20/19,"1,009.49"
8/21/19,"1,009.54"
8/22/19,"1,009.58"
