Date,E Fund (HK) China Equity Div A HKD Inc
11/16/15,99.93
11/17/15,99.08
11/18/15,98.76
11/19/15,100.92
11/20/15,101.16
11/21/15,101.16
11/22/15,101.16
11/23/15,100.12
11/24/15,101.11
11/25/15,101.27
11/26/15,100.83
11/27/15,98.49
11/28/15,98.49
11/29/15,98.49
11/30/15,98.71
12/1/15,98.98
12/2/15,98.59
12/3/15,98.94
12/4/15,98.57
12/5/15,98.57
12/6/15,98.57
12/7/15,99.0
12/8/15,98.18
12/9/15,98.13
12/10/15,97.31
12/11/15,95.94
12/12/15,95.94
12/13/15,95.94
12/14/15,96.31
12/15/15,96.63
12/16/15,97.59
12/17/15,98.04
12/18/15,97.73
12/19/15,97.73
12/20/15,97.73
12/21/15,98.02
12/22/15,98.48
12/23/15,98.81
12/24/15,99.01
12/25/15,99.01
12/26/15,99.01
12/27/15,99.01
12/28/15,98.89
12/29/15,99.29
12/30/15,99.74
12/31/15,99.2
1/1/16,99.2
1/2/16,99.2
1/3/16,99.2
1/4/16,96.45
1/5/16,95.88
1/6/16,95.74
1/7/16,92.66
1/8/16,92.45
1/9/16,92.45
1/10/16,92.45
1/11/16,90.22
1/12/16,89.92
1/13/16,89.31
1/14/16,90.39
1/15/16,89.27
1/16/16,89.27
1/17/16,89.27
1/18/16,89.43
1/19/16,90.51
1/20/16,89.34
1/21/16,90.56
1/22/16,90.71
1/23/16,90.71
1/24/16,90.71
1/25/16,90.36
1/26/16,90.07
1/27/16,90.08
1/28/16,89.73
1/29/16,90.5
1/30/16,90.5
1/31/16,90.5
2/1/16,90.38
2/2/16,89.57
2/3/16,89.83
2/4/16,89.83
2/5/16,89.18
2/6/16,89.18
2/7/16,89.18
2/8/16,89.18
2/9/16,89.18
2/10/16,89.18
2/11/16,89.18
2/12/16,89.18
2/13/16,89.18
2/14/16,89.18
2/15/16,86.63
2/16/16,88.82
2/17/16,89.38
2/18/16,89.62
2/19/16,89.94
2/20/16,89.94
2/21/16,89.94
2/22/16,90.51
2/23/16,89.98
2/24/16,89.5
2/25/16,89.01
2/26/16,89.43
2/27/16,89.43
2/28/16,89.43
2/29/16,89.26
3/1/16,89.86
3/2/16,90.64
3/3/16,90.66
3/4/16,91.44
3/5/16,91.44
3/6/16,91.44
3/7/16,91.23
3/8/16,90.55
3/9/16,90.59
3/10/16,90.57
3/11/16,91.0
3/12/16,91.0
3/13/16,91.0
3/14/16,90.66
3/15/16,89.17
3/16/16,90.09
3/17/16,91.16
3/18/16,91.66
3/19/16,91.66
3/20/16,91.66
3/21/16,91.42
3/22/16,91.55
3/23/16,90.56
3/24/16,90.59
3/25/16,90.59
3/26/16,90.59
3/27/16,90.59
3/28/16,90.59
3/29/16,90.53
3/30/16,91.2
3/31/16,91.1
4/1/16,91.02
4/2/16,91.02
4/3/16,91.02
4/4/16,91.02
4/5/16,90.77
4/6/16,91.93
4/7/16,92.19
4/8/16,92.36
4/9/16,92.36
4/10/16,92.36
4/11/16,92.55
4/12/16,92.62
4/13/16,93.5
4/14/16,93.41
4/15/16,93.61
4/16/16,93.61
4/17/16,93.61
4/18/16,93.76
4/19/16,94.29
4/20/16,94.0
4/21/16,93.87
4/22/16,93.8
4/23/16,93.8
4/24/16,93.8
4/25/16,93.05
4/26/16,93.04
4/27/16,92.81
4/28/16,92.72
4/29/16,92.51
4/30/16,92.51
5/1/16,92.51
5/2/16,92.51
5/3/16,91.72
5/4/16,91.83
5/5/16,91.04
5/6/16,89.87
5/7/16,89.87
5/8/16,89.87
5/9/16,85.66
5/10/16,87.3
5/11/16,85.28
5/12/16,84.02
5/13/16,84.26
5/14/16,84.26
5/15/16,84.26
5/16/16,85.81
5/17/16,85.55
5/18/16,85.11
5/19/16,84.0
5/20/16,84.15
5/21/16,84.15
5/22/16,84.15
5/23/16,84.11
5/24/16,84.6
5/25/16,84.86
5/26/16,85.04
5/27/16,85.48
5/28/16,85.48
5/29/16,85.48
5/30/16,85.6
5/31/16,86.27
6/1/16,86.04
6/2/16,86.4
6/3/16,86.82
6/4/16,86.82
6/5/16,86.82
6/6/16,87.06
6/7/16,87.62
6/8/16,86.67
6/9/16,86.67
6/10/16,86.67
6/11/16,86.67
6/12/16,86.67
6/13/16,83.72
6/14/16,83.86
