Date,Franklin Technology A Acc HKD
2/26/13,10.0
2/27/13,10.11
2/28/13,10.11
3/1/13,10.14
3/2/13,10.14
3/3/13,10.14
3/4/13,10.18
3/5/13,10.3
3/6/13,10.32
3/7/13,10.35
3/8/13,10.37
3/9/13,10.37
3/10/13,10.37
3/11/13,10.37
3/12/13,10.33
3/13/13,10.35
3/14/13,10.4
3/15/13,10.31
3/16/13,10.31
3/17/13,10.31
3/18/13,10.21
3/19/13,10.17
3/20/13,10.28
3/21/13,10.19
3/22/13,10.21
3/23/13,10.21
3/24/13,10.21
3/25/13,10.15
3/26/13,10.2
3/27/13,10.23
3/28/13,10.28
3/29/13,10.28
3/30/13,10.28
3/31/13,10.28
4/1/13,10.15
4/2/13,10.15
4/3/13,10.01
4/4/13,10.03
4/5/13,9.9
4/6/13,9.9
4/7/13,9.9
4/8/13,9.93
4/9/13,9.98
4/10/13,10.15
4/11/13,10.16
4/12/13,10.13
4/13/13,10.13
4/14/13,10.13
4/15/13,9.93
4/16/13,10.08
4/17/13,9.87
4/18/13,9.74
4/19/13,9.73
4/20/13,9.73
4/21/13,9.73
4/22/13,9.77
4/23/13,9.9
4/24/13,9.92
4/25/13,10.0
4/26/13,9.92
4/27/13,9.92
4/28/13,9.92
4/29/13,9.99
4/30/13,10.02
5/1/13,9.92
5/2/13,10.05
5/3/13,10.16
5/4/13,10.16
5/5/13,10.16
5/6/13,10.19
5/7/13,10.21
5/8/13,10.31
5/9/13,10.3
5/10/13,10.38
5/11/13,10.38
5/12/13,10.38
5/13/13,10.32
5/14/13,10.42
5/15/13,10.48
5/16/13,10.5
5/17/13,10.61
5/18/13,10.61
5/19/13,10.61
5/20/13,10.59
5/21/13,10.6
5/22/13,10.42
5/23/13,10.39
5/24/13,10.36
5/25/13,10.36
5/26/13,10.36
5/27/13,10.36
5/28/13,10.43
5/29/13,10.39
5/30/13,10.53
5/31/13,10.43
6/1/13,10.43
6/2/13,10.43
6/3/13,10.39
6/4/13,10.3
6/5/13,10.22
6/6/13,10.29
6/7/13,10.39
6/8/13,10.39
6/9/13,10.39
6/10/13,10.4
6/11/13,10.25
6/12/13,10.14
6/13/13,10.26
6/14/13,10.23
6/15/13,10.23
6/16/13,10.23
6/17/13,10.33
6/18/13,10.43
6/19/13,10.32
6/20/13,10.09
6/21/13,10.08
6/22/13,10.08
6/23/13,10.08
6/24/13,9.94
6/25/13,10.05
6/26/13,10.13
6/27/13,10.23
6/28/13,10.2
6/29/13,10.2
6/30/13,10.2
7/1/13,10.27
7/2/13,10.25
7/3/13,10.3
7/4/13,10.3
7/5/13,10.42
7/6/13,10.42
7/7/13,10.42
7/8/13,10.37
7/9/13,10.44
7/10/13,10.54
7/11/13,10.73
7/12/13,10.82
7/13/13,10.82
7/14/13,10.82
7/15/13,10.82
7/16/13,10.8
7/17/13,10.84
7/18/13,10.84
7/19/13,10.82
7/20/13,10.82
7/21/13,10.82
7/22/13,10.8
7/23/13,10.77
7/24/13,10.74
7/25/13,10.82
7/26/13,10.76
7/27/13,10.76
7/28/13,10.76
7/29/13,10.69
7/30/13,10.75
7/31/13,10.75
8/1/13,10.97
8/2/13,10.99
8/3/13,10.99
8/4/13,10.99
8/5/13,11.0
8/6/13,10.92
8/7/13,10.85
8/8/13,10.92
8/9/13,10.91
8/10/13,10.91
8/11/13,10.91
8/12/13,10.97
8/13/13,11.01
8/14/13,10.94
8/15/13,10.74
8/16/13,10.74
8/17/13,10.74
8/18/13,10.74
8/19/13,10.7
8/20/13,10.76
8/21/13,10.73
8/22/13,10.85
8/23/13,10.89
8/24/13,10.89
8/25/13,10.89
8/26/13,10.88
8/27/13,10.65
8/28/13,10.72
8/29/13,10.81
8/30/13,10.75
8/31/13,10.75
9/1/13,10.75
9/2/13,10.75
9/3/13,10.84
9/4/13,10.97
9/5/13,11.02
9/6/13,11.03
9/7/13,11.03
9/8/13,11.03
9/9/13,11.17
9/10/13,11.29
9/11/13,11.31
9/12/13,11.26
9/13/13,11.24
9/14/13,11.24
9/15/13,11.24
9/16/13,11.25
9/17/13,11.33
9/18/13,11.44
9/19/13,11.46
9/20/13,11.44
9/21/13,11.44
9/22/13,11.44
9/23/13,11.35
9/24/13,11.38
9/25/13,11.38
9/26/13,11.44
9/27/13,11.38
9/28/13,11.38
9/29/13,11.38
9/30/13,11.34
10/1/13,11.47
10/2/13,11.46
10/3/13,11.35
10/4/13,11.47
10/5/13,11.47
10/6/13,11.47
10/7/13,11.36
10/8/13,11.09
10/9/13,11.04
10/10/13,11.31
10/11/13,11.39
10/12/13,11.39
10/13/13,11.39
10/14/13,11.44
10/15/13,11.3
10/16/13,11.41
10/17/13,11.45
10/18/13,11.61
10/19/13,11.61
10/20/13,11.61
10/21/13,11.66
10/22/13,11.61
10/23/13,11.43
10/24/13,11.51
10/25/13,11.53
10/26/13,11.53
10/27/13,11.53
10/28/13,11.51
10/29/13,11.57
10/30/13,11.46
10/31/13,11.46
11/1/13,11.48
11/2/13,11.48
11/3/13,11.48
11/4/13,11.51
11/5/13,11.48
11/6/13,11.49
11/7/13,11.31
11/8/13,11.42
11/9/13,11.42
11/10/13,11.42
11/11/13,11.45
11/12/13,11.49
11/13/13,11.62
11/14/13,11.59
11/15/13,11.69
11/16/13,11.69
11/17/13,11.69
11/18/13,11.55
11/19/13,11.41
11/20/13,11.37
11/21/13,11.52
11/22/13,11.55
11/23/13,11.55
11/24/13,11.55
11/25/13,11.48
11/26/13,11.58
11/27/13,11.63
11/28/13,11.63
11/29/13,11.61
11/30/13,11.61
12/1/13,11.61
12/2/13,11.56
12/3/13,11.54
12/4/13,11.6
12/5/13,11.63
12/6/13,11.73
12/7/13,11.73
12/8/13,11.73
12/9/13,11.74
12/10/13,11.73
12/11/13,11.58
12/12/13,11.52
12/13/13,11.6
12/14/13,11.6
12/15/13,11.6
12/16/13,11.7
12/17/13,11.78
12/18/13,11.91
12/19/13,11.85
12/20/13,12.01
12/21/13,12.01
12/22/13,12.01
12/23/13,12.13
12/24/13,12.15
12/25/13,12.15
12/26/13,12.17
12/27/13,12.14
12/28/13,12.14
12/29/13,12.14
12/30/13,12.16
12/31/13,12.24
1/1/14,12.24
1/2/14,12.08
1/3/14,12.1
1/4/14,12.1
1/5/14,12.1
1/6/14,12.04
1/7/14,12.2
1/8/14,12.25
1/9/14,12.18
1/10/14,12.24
1/11/14,12.24
1/12/14,12.24
1/13/14,12.07
1/14/14,12.28
1/15/14,12.4
1/16/14,12.43
1/17/14,12.43
1/18/14,12.43
1/19/14,12.43
1/20/14,12.43
1/21/14,12.48
1/22/14,12.56
1/23/14,12.46
1/24/14,12.16
1/25/14,12.16
1/26/14,12.16
1/27/14,12.04
1/28/14,12.16
1/29/14,12.03
1/30/14,12.35
1/31/14,12.24
2/1/14,12.24
2/2/14,12.24
2/3/14,11.93
2/4/14,12.05
2/5/14,12.02
2/6/14,12.23
2/7/14,12.44
2/8/14,12.44
2/9/14,12.44
2/10/14,12.47
2/11/14,12.61
2/12/14,12.68
2/13/14,12.86
2/14/14,12.9
2/15/14,12.9
2/16/14,12.9
2/17/14,12.9
2/18/14,12.99
2/19/14,12.94
2/20/14,13.05
2/21/14,13.05
2/22/14,13.05
2/23/14,13.05
2/24/14,13.16
2/25/14,13.15
2/26/14,13.19
2/27/14,13.26
2/28/14,13.16
3/1/14,13.16
3/2/14,13.16
3/3/14,13.05
3/4/14,13.32
3/5/14,13.34
3/6/14,13.33
3/7/14,13.27
3/8/14,13.27
3/9/14,13.27
3/10/14,13.18
3/11/14,13.09
3/12/14,13.17
3/13/14,12.92
3/14/14,12.9
3/15/14,12.9
3/16/14,12.9
3/17/14,13.05
3/18/14,13.22
3/19/14,13.11
3/20/14,13.19
3/21/14,13.0
3/22/14,13.0
3/23/14,13.0
3/24/14,12.83
3/25/14,12.82
3/26/14,12.61
3/27/14,12.59
3/28/14,12.6
3/29/14,12.6
3/30/14,12.6
3/31/14,12.72
4/1/14,12.94
4/2/14,12.93
4/3/14,12.75
4/4/14,12.39
4/5/14,12.39
4/6/14,12.39
4/7/14,12.21
4/8/14,12.35
4/9/14,12.58
4/10/14,12.15
4/11/14,11.95
4/12/14,11.95
4/13/14,11.95
4/14/14,12.05
4/15/14,12.16
4/16/14,12.31
4/17/14,12.39
4/18/14,12.39
4/19/14,12.39
4/20/14,12.39
4/21/14,12.43
4/22/14,12.53
4/23/14,12.41
4/24/14,12.41
4/25/14,12.09
4/26/14,12.09
4/27/14,12.09
4/28/14,11.95
4/29/14,12.05
4/30/14,12.13
