Date,Harvest China A Research Select A HKD
3/7/14,100.0
3/8/14,100.0
3/9/14,100.0
3/10/14,97.86
3/11/14,97.79
3/12/14,97.74
3/13/14,98.98
3/14/14,98.47
3/15/14,98.47
3/16/14,98.47
3/17/14,99.67
3/18/14,99.68
3/19/14,98.67
3/20/14,96.8
3/21/14,97.75
3/22/14,97.75
3/23/14,97.75
3/24/14,97.6
3/25/14,97.58
3/26/14,97.83
3/27/14,97.08
3/28/14,96.33
3/29/14,96.33
3/30/14,96.33
3/31/14,96.89
4/1/14,98.13
4/2/14,97.85
4/3/14,96.95
4/4/14,97.7
4/5/14,97.7
4/6/14,97.7
4/7/14,97.7
4/8/14,99.57
4/9/14,99.83
4/10/14,100.29
4/11/14,100.14
4/12/14,100.14
4/13/14,100.14
4/14/14,100.34
4/15/14,99.08
4/16/14,98.86
4/17/14,98.61
4/18/14,98.61
4/19/14,98.61
4/20/14,98.61
4/21/14,98.61
4/22/14,96.41
4/23/14,96.12
4/24/14,95.88
4/25/14,94.49
4/26/14,94.49
4/27/14,94.49
4/28/14,92.58
4/29/14,93.8
4/30/14,94.31
5/1/14,94.31
5/2/14,94.31
5/3/14,94.31
5/4/14,94.31
5/5/14,95.15
5/6/14,95.15
5/7/14,93.89
5/8/14,93.9
5/9/14,93.03
5/10/14,93.03
5/11/14,93.03
5/12/14,93.81
5/13/14,93.82
5/14/14,93.98
5/15/14,92.98
5/16/14,92.67
5/17/14,92.67
5/18/14,92.67
5/19/14,91.27
5/20/14,91.31
5/21/14,92.23
5/22/14,92.59
5/23/14,93.38
5/24/14,93.38
5/25/14,93.38
5/26/14,94.01
5/27/14,93.57
5/28/14,94.12
5/29/14,93.72
5/30/14,93.76
5/31/14,93.76
6/1/14,93.76
6/2/14,93.76
6/3/14,92.95
6/4/14,92.24
6/5/14,93.01
6/6/14,92.69
6/7/14,92.69
6/8/14,92.69
6/9/14,92.96
6/10/14,94.39
6/11/14,94.58
6/12/14,94.36
6/13/14,95.14
6/14/14,95.14
6/15/14,95.14
6/16/14,95.54
6/17/14,94.3
6/18/14,93.54
6/19/14,92.39
6/20/14,92.96
6/21/14,92.96
6/22/14,92.96
6/23/14,93.17
6/24/14,93.49
6/25/14,93.04
6/26/14,94.0
6/27/14,94.31
6/28/14,94.31
6/29/14,94.31
6/30/14,95.31
7/1/14,95.31
7/2/14,95.28
7/3/14,95.67
7/4/14,95.61
7/5/14,95.61
7/6/14,95.61
7/7/14,95.19
7/8/14,95.53
7/9/14,94.16
7/10/14,93.3
7/11/14,93.74
7/12/14,93.74
7/13/14,93.74
7/14/14,94.87
7/15/14,95.01
7/16/14,94.56
7/17/14,94.41
7/18/14,94.87
7/19/14,94.87
7/20/14,94.87
7/21/14,95.17
7/22/14,96.12
7/23/14,96.01
7/24/14,97.37
7/25/14,97.93
7/26/14,97.93
7/27/14,97.93
7/28/14,99.79
7/29/14,100.18
7/30/14,100.12
7/31/14,100.98
8/1/14,100.56
8/2/14,100.56
8/3/14,100.56
8/4/14,102.07
8/5/14,102.08
8/6/14,101.42
8/7/14,100.68
8/8/14,101.01
8/9/14,101.01
8/10/14,101.01
8/11/14,102.24
8/12/14,101.81
8/13/14,101.6
8/14/14,101.28
8/15/14,102.32
8/16/14,102.32
8/17/14,102.32
8/18/14,102.9
8/19/14,102.69
8/20/14,102.52
8/21/14,102.02
8/22/14,102.27
8/23/14,102.27
8/24/14,102.27
8/25/14,102.01
8/26/14,101.19
8/27/14,101.55
8/28/14,100.91
8/29/14,102.13
8/30/14,102.13
8/31/14,102.13
9/1/14,102.8
9/2/14,103.43
9/3/14,104.71
9/4/14,105.14
9/5/14,105.62
9/6/14,105.62
9/7/14,105.62
9/8/14,105.62
9/9/14,105.62
9/10/14,104.7
9/11/14,104.01
9/12/14,104.19
9/13/14,104.19
9/14/14,104.19
9/15/14,103.35
9/16/14,101.01
9/17/14,101.27
9/18/14,101.86
9/19/14,102.76
9/20/14,102.76
9/21/14,102.76
9/22/14,101.38
9/23/14,102.23
9/24/14,103.34
9/25/14,103.43
9/26/14,102.91
9/27/14,102.91
9/28/14,102.91
9/29/14,102.26
9/30/14,102.99
10/1/14,102.99
10/2/14,102.99
10/3/14,102.99
10/4/14,102.99
10/5/14,102.99
10/6/14,102.99
10/7/14,102.99
10/8/14,104.94
10/9/14,105.6
10/10/14,104.89
10/11/14,104.89
10/12/14,104.89
10/13/14,103.5
10/14/14,103.29
10/15/14,104.1
10/16/14,102.92
10/17/14,103.3
10/18/14,103.3
10/19/14,103.3
10/20/14,104.1
10/21/14,103.59
10/22/14,103.49
10/23/14,102.34
10/24/14,102.65
10/25/14,102.65
10/26/14,102.65
10/27/14,102.77
10/28/14,104.34
10/29/14,105.57
10/30/14,105.34
10/31/14,106.14
11/1/14,106.14
11/2/14,106.14
11/3/14,106.15
11/4/14,105.26
11/5/14,105.34
11/6/14,106.35
11/7/14,105.63
11/8/14,105.63
11/9/14,105.63
11/10/14,107.34
11/11/14,106.03
11/12/14,107.53
11/13/14,106.7
11/14/14,106.2
11/15/14,106.2
11/16/14,106.2
11/17/14,107.81
11/18/14,107.76
11/19/14,107.81
11/20/14,107.21
11/21/14,108.25
11/22/14,108.25
11/23/14,108.25
11/24/14,109.29
11/25/14,111.43
11/26/14,111.89
11/27/14,111.72
11/28/14,111.93
11/29/14,111.93
11/30/14,111.93
12/1/14,111.89
12/2/14,113.46
12/3/14,114.95
12/4/14,117.34
12/5/14,115.22
12/6/14,115.22
12/7/14,115.22
12/8/14,116.67
12/9/14,110.35
12/10/14,115.45
12/11/14,115.48
12/12/14,116.09
12/13/14,116.09
12/14/14,116.09
12/15/14,117.64
12/16/14,118.13
12/17/14,118.11
12/18/14,117.61
12/19/14,117.15
12/20/14,117.15
12/21/14,117.15
12/22/14,115.45
12/23/14,114.37
12/24/14,112.86
12/25/14,112.86
12/26/14,112.86
12/27/14,112.86
12/28/14,112.86
12/29/14,116.95
12/30/14,116.97
12/31/14,118.95
1/1/15,118.95
1/2/15,118.95
1/3/15,118.95
1/4/15,118.95
1/5/15,124.13
1/6/15,126.37
1/7/15,125.47
1/8/15,124.42
1/9/15,123.01
