Date,Harvest China Equity A HKD Acc
5/8/13,100.0
5/9/13,99.75
5/10/13,100.27
5/11/13,100.27
5/12/13,100.27
5/13/13,99.28
5/14/13,98.69
5/15/13,99.2
5/16/13,99.18
5/17/13,99.18
5/18/13,99.18
5/19/13,99.18
5/20/13,100.67
5/21/13,99.46
5/22/13,98.86
5/23/13,96.84
5/24/13,97.45
5/25/13,97.45
5/26/13,97.45
5/27/13,98.5
5/28/13,100.11
5/29/13,99.55
5/30/13,99.45
5/31/13,99.11
6/1/13,99.11
6/2/13,99.11
6/3/13,97.78
6/4/13,98.04
6/5/13,97.65
6/6/13,96.4
6/7/13,95.87
6/8/13,95.87
6/9/13,95.87
6/10/13,95.97
6/11/13,94.5
6/12/13,94.5
6/13/13,92.26
6/14/13,92.22
6/15/13,92.22
6/16/13,92.22
6/17/13,93.15
6/18/13,93.71
6/19/13,92.57
6/20/13,90.01
6/21/13,88.75
6/22/13,88.75
6/23/13,88.75
6/24/13,85.05
6/25/13,83.56
6/26/13,86.68
6/27/13,86.75
6/28/13,88.5
6/29/13,88.5
6/30/13,88.5
7/1/13,88.5
7/2/13,88.28
7/3/13,85.59
7/4/13,86.42
7/5/13,87.8
7/6/13,87.8
7/7/13,87.8
7/8/13,87.01
7/9/13,86.9
7/10/13,87.71
7/11/13,90.33
7/12/13,90.41
7/13/13,90.41
7/14/13,90.41
7/15/13,91.35
7/16/13,91.99
7/17/13,91.96
7/18/13,92.0
7/19/13,91.13
7/20/13,91.13
7/21/13,91.13
7/22/13,90.91
7/23/13,93.2
7/24/13,93.67
7/25/13,93.94
7/26/13,94.15
7/27/13,94.15
7/28/13,94.15
7/29/13,93.11
7/30/13,93.55
7/31/13,93.53
8/1/13,94.81
8/2/13,94.78
8/3/13,94.78
8/4/13,94.78
8/5/13,95.64
8/6/13,95.1
8/7/13,93.83
8/8/13,94.04
8/9/13,94.94
8/10/13,94.94
8/11/13,94.94
8/12/13,96.87
8/13/13,98.24
8/14/13,98.24
8/15/13,97.59
8/16/13,97.44
8/17/13,97.44
8/18/13,97.44
8/19/13,97.83
8/20/13,95.78
8/21/13,95.81
8/22/13,96.5
8/23/13,96.41
8/24/13,96.41
8/25/13,96.41
8/26/13,97.41
8/27/13,97.11
8/28/13,95.36
8/29/13,96.1
8/30/13,96.26
8/31/13,96.26
9/1/13,96.26
9/2/13,97.4
9/3/13,98.47
9/4/13,97.98
9/5/13,98.66
9/6/13,98.83
9/7/13,98.83
9/8/13,98.83
9/9/13,99.68
9/10/13,101.06
9/11/13,100.82
9/12/13,99.88
9/13/13,99.95
9/14/13,99.95
9/15/13,99.95
9/16/13,101.5
9/17/13,101.31
9/18/13,100.9
9/19/13,100.9
9/20/13,100.9
9/21/13,100.9
9/22/13,100.9
9/23/13,102.04
9/24/13,101.15
9/25/13,101.38
9/26/13,101.03
9/27/13,101.5
9/28/13,101.5
9/29/13,101.5
9/30/13,100.7
10/1/13,100.7
10/2/13,101.77
10/3/13,103.51
10/4/13,103.92
10/5/13,103.92
10/6/13,103.92
10/7/13,103.67
10/8/13,104.98
10/9/13,104.4
10/10/13,104.05
10/11/13,105.29
10/12/13,105.29
10/13/13,105.29
10/14/13,105.29
10/15/13,105.86
10/16/13,104.96
10/17/13,104.78
10/18/13,105.29
10/19/13,105.29
10/20/13,105.29
10/21/13,106.45
10/22/13,106.47
10/23/13,104.77
10/24/13,104.03
10/25/13,103.8
10/26/13,103.8
10/27/13,103.8
10/28/13,104.24
10/29/13,103.65
10/30/13,105.53
10/31/13,105.83
11/1/13,106.28
11/2/13,106.28
11/3/13,106.28
11/4/13,105.93
11/5/13,105.8
11/6/13,105.61
11/7/13,104.67
11/8/13,103.33
11/9/13,103.33
11/10/13,103.33
11/11/13,105.11
11/12/13,105.1
11/13/13,103.26
11/14/13,105.19
11/15/13,107.11
11/16/13,107.11
11/17/13,107.11
11/18/13,111.01
11/19/13,110.35
11/20/13,110.98
11/21/13,110.5
11/22/13,110.97
11/23/13,110.97
11/24/13,110.97
11/25/13,111.05
11/26/13,110.27
11/27/13,110.81
11/28/13,111.09
11/29/13,111.94
11/30/13,111.94
12/1/13,111.94
12/2/13,112.57
12/3/13,111.92
12/4/13,111.57
12/5/13,112.19
12/6/13,112.39
12/7/13,112.39
12/8/13,112.39
12/9/13,112.54
12/10/13,112.37
12/11/13,111.13
12/12/13,109.95
12/13/13,111.18
12/14/13,111.18
12/15/13,111.18
12/16/13,110.54
12/17/13,109.81
12/18/13,110.32
12/19/13,109.05
12/20/13,108.04
12/21/13,108.04
12/22/13,108.04
12/23/13,108.83
12/24/13,110.38
12/25/13,110.38
12/26/13,110.38
12/27/13,111.28
12/28/13,111.28
12/29/13,111.28
12/30/13,111.46
12/31/13,112.46
1/1/14,112.46
1/2/14,113.23
1/3/14,112.43
1/4/14,112.43
1/5/14,112.43
1/6/14,111.39
1/7/14,110.63
1/8/14,112.51
1/9/14,112.09
1/10/14,111.26
1/11/14,111.26
1/12/14,111.26
1/13/14,111.87
1/14/14,111.15
1/15/14,112.4
1/16/14,112.53
1/17/14,113.11
1/18/14,113.11
1/19/14,113.11
1/20/14,112.24
1/21/14,112.82
1/22/14,113.99
1/23/14,113.5
1/24/14,110.49
1/25/14,110.49
1/26/14,110.49
1/27/14,107.66
1/28/14,108.46
1/29/14,110.8
1/30/14,110.06
1/31/14,110.06
2/1/14,110.06
2/2/14,110.06
2/3/14,110.06
2/4/14,106.75
2/5/14,105.89
2/6/14,106.6
2/7/14,108.74
2/8/14,108.74
2/9/14,108.74
2/10/14,109.54
2/11/14,110.41
2/12/14,111.05
2/13/14,110.99
2/14/14,111.9
2/15/14,111.9
2/16/14,111.9
2/17/14,113.28
2/18/14,113.21
2/19/14,113.84
2/20/14,113.19
2/21/14,113.5
2/22/14,113.5
2/23/14,113.5
2/24/14,112.26
2/25/14,111.3
2/26/14,112.55
2/27/14,114.34
