Date,Harvest China Income A HKD Inc
12/10/19,99.67
12/11/19,99.55
12/12/19,99.63
12/13/19,99.88
12/14/19,99.88
12/15/19,99.88
12/16/19,99.9
12/17/19,100.11
12/18/19,100.1
12/19/19,100.25
12/20/19,100.48
12/21/19,100.48
12/22/19,100.48
12/23/19,100.42
12/24/19,100.56
12/25/19,100.56
12/26/19,100.56
12/27/19,100.67
12/28/19,100.67
12/29/19,100.67
12/30/19,100.76
12/31/19,100.7
1/1/20,100.7
1/2/20,101.37
1/3/20,101.72
1/4/20,101.72
1/5/20,101.72
1/6/20,101.53
1/7/20,101.59
1/8/20,101.44
1/9/20,101.43
1/10/20,101.55
1/11/20,101.55
1/12/20,101.55
1/13/20,101.71
1/14/20,101.97
1/15/20,101.96
1/16/20,102.06
1/17/20,101.97
1/18/20,101.97
1/19/20,101.97
1/20/20,102.03
1/21/20,102.03
1/22/20,102.05
1/23/20,102.1
1/24/20,102.25
1/25/20,102.25
1/26/20,102.25
1/27/20,102.25
1/28/20,102.25
1/29/20,102.28
1/30/20,101.81
1/31/20,102.05
2/1/20,102.05
2/2/20,102.05
2/3/20,101.88
2/4/20,101.66
2/5/20,101.68
2/6/20,101.85
2/7/20,102.0
2/8/20,102.0
2/9/20,102.0
2/10/20,102.1
2/11/20,102.05
2/12/20,102.19
2/13/20,102.22
2/14/20,102.27
2/15/20,102.27
2/16/20,102.27
2/17/20,102.34
2/18/20,102.39
2/19/20,102.46
2/20/20,102.42
2/21/20,102.48
2/22/20,102.48
2/23/20,102.48
2/24/20,102.38
2/25/20,102.22
2/26/20,102.03
2/27/20,101.86
2/28/20,100.92
2/29/20,100.92
3/1/20,100.92
3/2/20,100.75
3/3/20,100.85
3/4/20,100.66
3/5/20,101.14
3/6/20,101.04
3/7/20,101.04
3/8/20,101.04
3/9/20,98.81
3/10/20,98.32
3/11/20,97.79
3/12/20,95.94
3/13/20,93.44
3/14/20,93.44
3/15/20,93.44
3/16/20,91.69
3/17/20,89.1
3/18/20,86.86
3/19/20,84.84
3/20/20,85.55
3/21/20,85.55
3/22/20,85.55
3/23/20,84.84
3/24/20,84.8
3/25/20,85.96
3/26/20,86.99
3/27/20,88.28
3/28/20,88.28
3/29/20,88.28
3/30/20,87.75
3/31/20,88.1
4/1/20,88.29
4/2/20,88.24
4/3/20,88.05
4/4/20,88.05
4/5/20,88.05
4/6/20,87.95
4/7/20,87.99
4/8/20,87.9
4/9/20,88.6
4/10/20,88.6
4/11/20,88.6
4/12/20,88.6
4/13/20,88.6
4/14/20,89.67
4/15/20,89.85
4/16/20,90.01
4/17/20,90.4
4/18/20,90.4
4/19/20,90.4
4/20/20,90.74
4/21/20,90.48
4/22/20,90.07
4/23/20,90.2
4/24/20,90.15
4/25/20,90.15
4/26/20,90.15
4/27/20,90.29
4/28/20,90.27
4/29/20,90.52
4/30/20,90.52
5/1/20,90.52
5/2/20,90.52
5/3/20,90.52
5/4/20,90.81
5/5/20,90.9
5/6/20,91.0
5/7/20,91.27
5/8/20,91.59
5/9/20,91.59
5/10/20,91.59
5/11/20,92.07
5/12/20,92.35
5/13/20,92.53
5/14/20,92.64
5/15/20,92.79
5/16/20,92.79
5/17/20,92.79
5/18/20,92.89
5/19/20,93.52
5/20/20,93.82
5/21/20,94.38
5/22/20,94.28
5/23/20,94.28
5/24/20,94.28
5/25/20,94.34
5/26/20,94.18
5/27/20,94.32
5/28/20,94.38
5/29/20,94.39
5/30/20,94.39
5/31/20,94.39
6/1/20,94.46
6/2/20,94.58
6/3/20,95.07
6/4/20,95.28
6/5/20,95.5
6/6/20,95.5
6/7/20,95.5
6/8/20,96.19
6/9/20,96.33
6/10/20,96.43
6/11/20,96.36
6/12/20,96.05
6/13/20,96.05
6/14/20,96.05
6/15/20,96.05
6/16/20,96.18
6/17/20,96.36
6/18/20,96.52
6/19/20,96.67
6/20/20,96.67
6/21/20,96.67
6/22/20,96.78
6/23/20,97.01
6/24/20,97.01
6/25/20,97.01
6/26/20,96.96
6/27/20,96.96
6/28/20,96.96
6/29/20,96.88
6/30/20,96.79
7/1/20,96.79
7/2/20,97.13
7/3/20,97.39
7/4/20,97.39
7/5/20,97.39
7/6/20,97.8
7/7/20,97.88
7/8/20,97.89
7/9/20,97.9
7/10/20,97.79
7/11/20,97.79
7/12/20,97.79
7/13/20,97.89
7/14/20,97.76
7/15/20,97.91
7/16/20,97.77
7/17/20,97.98
7/18/20,97.98
7/19/20,97.98
7/20/20,98.18
7/21/20,98.76
7/22/20,99.03
7/23/20,99.46
7/24/20,99.13
7/25/20,99.13
7/26/20,99.13
7/27/20,99.04
7/28/20,99.36
7/29/20,99.58
7/30/20,99.73
7/31/20,99.91
8/1/20,99.91
8/2/20,99.91
8/3/20,100.06
8/4/20,100.36
8/5/20,100.63
8/6/20,100.63
8/7/20,100.63
8/8/20,100.63
8/9/20,100.63
8/10/20,100.62
8/11/20,100.85
8/12/20,100.72
8/13/20,100.76
8/14/20,100.88
8/15/20,100.88
8/16/20,100.88
8/17/20,100.93
8/18/20,101.13
8/19/20,101.26
8/20/20,101.05
8/21/20,101.19
8/22/20,101.19
8/23/20,101.19
8/24/20,101.43
8/25/20,101.57
8/26/20,101.55
8/27/20,101.65
8/28/20,101.92
8/29/20,101.92
8/30/20,101.92
8/31/20,102.16
9/1/20,102.33
9/2/20,102.43
9/3/20,102.46
9/4/20,102.34
9/5/20,102.34
9/6/20,102.34
9/7/20,102.22
9/8/20,102.11
9/9/20,101.81
9/10/20,101.66
9/11/20,101.69
9/12/20,101.69
9/13/20,101.69
9/14/20,101.84
9/15/20,102.08
9/16/20,102.17
9/17/20,101.88
9/18/20,102.15
9/19/20,102.15
9/20/20,102.15
9/21/20,101.97
9/22/20,101.68
9/23/20,101.74
9/24/20,101.05
9/25/20,100.43
9/26/20,100.43
9/27/20,100.43
9/28/20,99.97
9/29/20,100.03
9/30/20,100.31
10/1/20,100.31
10/2/20,100.31
10/3/20,100.31
10/4/20,100.31
10/5/20,100.77
10/6/20,101.0
10/7/20,101.11
10/8/20,101.23
10/9/20,101.44
10/10/20,101.44
10/11/20,101.44
10/12/20,101.57
10/13/20,101.57
10/14/20,101.51
10/15/20,101.15
10/16/20,100.92
10/17/20,100.92
10/18/20,100.92
10/19/20,101.15
10/20/20,101.24
10/21/20,101.42
10/22/20,101.37
10/23/20,101.1
10/24/20,101.1
10/25/20,101.1
10/26/20,101.1
10/27/20,100.98
10/28/20,100.85
10/29/20,100.83
10/30/20,100.8
10/31/20,100.8
11/1/20,100.8
11/2/20,101.17
11/3/20,101.55
11/4/20,101.92
