Date,Janus Henderson Balanced A2 HKD
8/31/11,10.0
9/1/11,9.96
9/2/11,9.81
9/3/11,9.81
9/4/11,9.81
9/5/11,9.81
9/6/11,9.75
9/7/11,9.91
9/8/11,9.85
9/9/11,9.68
9/10/11,9.68
9/11/11,9.68
9/12/11,9.71
9/13/11,9.77
9/14/11,9.85
9/15/11,9.93
9/16/11,9.95
9/17/11,9.95
9/18/11,9.95
9/19/11,9.89
9/20/11,9.86
9/21/11,9.71
9/22/11,9.54
9/23/11,9.55
9/24/11,9.55
9/25/11,9.55
9/26/11,9.64
9/27/11,9.71
9/28/11,9.56
9/29/11,9.58
9/30/11,9.4
10/1/11,9.4
10/2/11,9.4
10/3/11,9.24
10/4/11,9.35
10/5/11,9.47
10/6/11,9.6
10/7/11,9.53
10/8/11,9.53
10/9/11,9.53
10/10/11,9.74
10/11/11,9.74
10/12/11,9.82
10/13/11,9.8
10/14/11,9.89
10/15/11,9.89
10/16/11,9.89
10/17/11,9.78
10/18/11,9.9
10/19/11,9.82
10/20/11,9.83
10/21/11,9.97
10/22/11,9.97
10/23/11,9.97
10/24/11,10.06
10/25/11,9.94
10/26/11,10.03
10/27/11,10.24
10/28/11,10.26
10/29/11,10.26
10/30/11,10.26
10/31/11,10.13
11/1/11,9.97
11/2/11,10.06
11/3/11,10.16
11/4/11,10.13
11/5/11,10.13
11/6/11,10.13
11/7/11,10.16
11/8/11,10.23
11/9/11,10.0
11/10/11,10.0
11/11/11,10.15
11/12/11,10.15
11/13/11,10.15
11/14/11,10.1
11/15/11,10.11
11/16/11,10.02
11/17/11,9.92
11/18/11,9.91
11/19/11,9.91
11/20/11,9.91
11/21/11,9.81
11/22/11,9.81
11/23/11,9.69
11/24/11,9.69
11/25/11,9.66
11/26/11,9.66
11/27/11,9.66
11/28/11,9.84
11/29/11,9.83
11/30/11,10.03
12/1/11,10.03
12/2/11,10.05
12/3/11,10.05
12/4/11,10.05
12/5/11,10.11
12/6/11,10.11
12/7/11,10.13
12/8/11,10.01
12/9/11,10.1
12/10/11,10.1
12/11/11,10.1
12/12/11,10.03
12/13/11,9.98
12/14/11,9.91
12/15/11,9.91
12/16/11,9.94
12/17/11,9.94
12/18/11,9.94
12/19/11,9.88
12/20/11,10.03
12/21/11,10.02
12/22/11,10.07
12/23/11,10.1
12/24/11,10.1
12/25/11,10.1
12/26/11,10.1
12/27/11,10.1
12/28/11,10.04
12/29/11,10.11
12/30/11,10.09
12/31/11,10.09
1/1/12,10.09
1/2/12,10.09
1/3/12,10.19
1/4/12,10.18
1/5/12,10.18
1/6/12,10.17
1/7/12,10.17
1/8/12,10.17
1/9/12,10.2
1/10/12,10.28
1/11/12,10.29
