Date,Templeton Em Mkts Dyn Inc A MDis HKD
4/6/18,10.0
4/7/18,10.0
4/8/18,10.0
4/9/18,9.96
4/10/18,10.01
4/11/18,10.01
4/12/18,10.02
4/13/18,10.0
4/14/18,10.0
4/15/18,10.0
4/16/18,9.99
4/17/18,9.98
4/18/18,10.02
4/19/18,10.02
4/20/18,9.95
4/21/18,9.95
4/22/18,9.95
4/23/18,9.88
4/24/18,9.9
4/25/18,9.81
4/26/18,9.82
4/27/18,9.88
4/28/18,9.88
4/29/18,9.88
4/30/18,9.91
5/1/18,9.88
5/2/18,9.82
5/3/18,9.73
5/4/18,9.75
5/5/18,9.75
5/6/18,9.75
5/7/18,9.76
5/8/18,9.72
5/9/18,9.68
5/10/18,9.78
5/11/18,9.78
5/12/18,9.78
5/13/18,9.78
5/14/18,9.73
5/15/18,9.65
5/16/18,9.68
5/17/18,9.61
5/18/18,9.55
5/19/18,9.55
5/20/18,9.55
5/21/18,9.58
5/22/18,9.62
5/23/18,9.62
5/24/18,9.62
5/25/18,9.61
5/26/18,9.61
5/27/18,9.61
5/28/18,9.6
5/29/18,9.48
5/30/18,9.49
5/31/18,9.47
6/1/18,9.54
6/2/18,9.54
6/3/18,9.54
6/4/18,9.62
6/5/18,9.58
6/6/18,9.62
6/7/18,9.57
6/8/18,9.51
6/9/18,9.51
6/10/18,9.51
6/11/18,9.48
6/12/18,9.5
6/13/18,9.47
6/14/18,9.35
6/15/18,9.31
6/16/18,9.31
6/17/18,9.31
6/18/18,9.29
6/19/18,9.22
6/20/18,9.27
6/21/18,9.23
6/22/18,9.28
6/23/18,9.28
6/24/18,9.28
6/25/18,9.21
6/26/18,9.15
6/27/18,9.07
6/28/18,9.07
6/29/18,9.15
6/30/18,9.15
7/1/18,9.15
7/2/18,9.1
7/3/18,9.14
7/4/18,9.13
7/5/18,9.15
7/6/18,9.19
7/7/18,9.19
7/8/18,9.19
7/9/18,9.2
7/10/18,9.25
7/11/18,9.17
7/12/18,9.18
7/13/18,9.21
7/14/18,9.21
7/15/18,9.21
7/16/18,9.16
7/17/18,9.18
7/18/18,9.16
7/19/18,9.13
7/20/18,9.2
7/21/18,9.2
7/22/18,9.2
7/23/18,9.19
7/24/18,9.25
7/25/18,9.32
7/26/18,9.29
7/27/18,9.33
7/28/18,9.33
7/29/18,9.33
7/30/18,9.32
7/31/18,9.29
8/1/18,9.29
8/2/18,9.2
8/3/18,9.27
8/4/18,9.27
8/5/18,9.27
8/6/18,9.25
8/7/18,9.29
8/8/18,9.22
8/9/18,9.19
8/10/18,9.07
8/11/18,9.07
8/12/18,9.07
8/13/18,8.95
8/14/18,8.99
8/15/18,8.87
8/16/18,8.87
8/17/18,8.88
8/18/18,8.88
8/19/18,8.88
8/20/18,8.92
8/21/18,8.96
8/22/18,9.03
8/23/18,8.95
8/24/18,9.0
8/25/18,9.0
8/26/18,9.0
8/27/18,9.1
8/28/18,9.08
8/29/18,9.04
8/30/18,8.87
8/31/18,8.92
9/1/18,8.92
9/2/18,8.92
9/3/18,8.83
9/4/18,8.76
9/5/18,8.67
9/6/18,8.67
9/7/18,8.71
9/8/18,8.71
9/9/18,8.71
9/10/18,8.6
9/11/18,8.56
9/12/18,8.58
9/13/18,8.61
9/14/18,8.68
9/15/18,8.68
9/16/18,8.68
9/17/18,8.65
9/18/18,8.66
9/19/18,8.73
9/20/18,8.79
9/21/18,8.83
9/22/18,8.83
9/23/18,8.83
9/24/18,8.77
9/25/18,8.77
9/26/18,8.8
9/27/18,8.83
9/28/18,8.82
9/29/18,8.82
9/30/18,8.82
10/1/18,8.83
10/2/18,8.79
10/3/18,8.82
10/4/18,8.69
10/5/18,8.69
10/6/18,8.69
10/7/18,8.69
10/8/18,8.62
10/9/18,8.63
10/10/18,8.53
10/11/18,8.45
10/12/18,8.53
10/13/18,8.53
10/14/18,8.53
10/15/18,8.49
10/16/18,8.6
10/17/18,8.6
10/18/18,8.48
10/19/18,8.51
10/20/18,8.51
10/21/18,8.51
10/22/18,8.57
10/23/18,8.49
10/24/18,8.35
10/25/18,8.43
10/26/18,8.37
10/27/18,8.37
10/28/18,8.37
10/29/18,8.3
10/30/18,8.35
10/31/18,8.42
11/1/18,8.53
11/2/18,8.62
11/3/18,8.62
11/4/18,8.62
11/5/18,8.61
11/6/18,8.62
11/7/18,8.68
11/8/18,8.53
11/9/18,8.49
11/10/18,8.49
11/11/18,8.49
11/12/18,8.43
11/13/18,8.4
11/14/18,8.46
11/15/18,8.53
11/16/18,8.56
11/17/18,8.56
11/18/18,8.56
11/19/18,8.53
11/20/18,8.44
11/21/18,8.48
11/22/18,8.49
11/23/18,8.44
11/24/18,8.44
11/25/18,8.44
11/26/18,8.42
11/27/18,8.46
11/28/18,8.54
11/29/18,8.58
11/30/18,8.56
12/1/18,8.56
12/2/18,8.56
12/3/18,8.66
12/4/18,8.56
12/5/18,8.56
12/6/18,8.45
12/7/18,8.44
12/8/18,8.44
12/9/18,8.44
12/10/18,8.34
12/11/18,8.38
12/12/18,8.44
12/13/18,8.45
12/14/18,8.36
12/15/18,8.36
12/16/18,8.36
12/17/18,8.36
12/18/18,8.36
12/19/18,8.34
12/20/18,8.37
12/21/18,8.34
12/22/18,8.34
12/23/18,8.34
12/24/18,8.33
12/25/18,8.33
12/26/18,8.38
12/27/18,8.35
12/28/18,8.4
12/29/18,8.4
12/30/18,8.4
12/31/18,8.43
1/1/19,8.43
1/2/19,8.42
1/3/19,8.38
1/4/19,8.53
1/5/19,8.53
1/6/19,8.53
1/7/19,8.54
1/8/19,8.56
1/9/19,8.61
1/10/19,8.64
1/11/19,8.66
1/12/19,8.66
1/13/19,8.66
1/14/19,8.63
1/15/19,8.69
1/16/19,8.73
1/17/19,8.73
1/18/19,8.77
1/19/19,8.77
1/20/19,8.77
1/21/19,8.77
1/22/19,8.71
1/23/19,8.75
1/24/19,8.79
1/25/19,8.86
1/26/19,8.86
1/27/19,8.86
1/28/19,8.84
1/29/19,8.87
1/30/19,8.91
1/31/19,8.98
2/1/19,8.98
2/2/19,8.98
2/3/19,8.98
2/4/19,8.98
2/5/19,9.0
2/6/19,8.98
2/7/19,8.93
2/8/19,8.86
2/9/19,8.86
2/10/19,8.86
2/11/19,8.84
2/12/19,8.89
2/13/19,8.86
2/14/19,8.9
2/15/19,8.84
2/16/19,8.84
2/17/19,8.84
2/18/19,8.85
2/19/19,8.85
2/20/19,8.88
2/21/19,8.89
2/22/19,8.95
2/23/19,8.95
2/24/19,8.95
2/25/19,8.99
2/26/19,8.98
2/27/19,8.96
2/28/19,8.9
3/1/19,8.89
3/2/19,8.89
3/3/19,8.89
3/4/19,8.91
3/5/19,8.93
3/6/19,8.91
3/7/19,8.83
3/8/19,8.71
3/9/19,8.71
3/10/19,8.71
3/11/19,8.79
3/12/19,8.82
3/13/19,8.83
3/14/19,8.82
3/15/19,8.89
3/16/19,8.89
3/17/19,8.89
3/18/19,8.95
3/19/19,8.96
3/20/19,8.98
3/21/19,8.98
3/22/19,8.89
3/23/19,8.89
3/24/19,8.89
3/25/19,8.86
3/26/19,8.86
3/27/19,8.79
3/28/19,8.82
3/29/19,8.87
3/30/19,8.87
3/31/19,8.87
4/1/19,8.95
4/2/19,8.98
4/3/19,9.0
4/4/19,9.03
4/5/19,9.04
4/6/19,9.04
4/7/19,9.04
4/8/19,9.01
4/9/19,9.03
4/10/19,9.07
4/11/19,9.03
4/12/19,9.05
4/13/19,9.05
4/14/19,9.05
4/15/19,9.06
4/16/19,9.08
4/17/19,9.1
4/18/19,9.1
4/19/19,9.1
4/20/19,9.1
4/21/19,9.1
4/22/19,9.06
4/23/19,9.09
4/24/19,9.01
4/25/19,8.96
4/26/19,8.95
4/27/19,8.95
4/28/19,8.95
4/29/19,9.0
4/30/19,9.0
5/1/19,8.99
5/2/19,8.96
5/3/19,8.99
5/4/19,8.99
5/5/19,8.99
5/6/19,8.9
5/7/19,8.85
5/8/19,8.78
5/9/19,8.66
5/10/19,8.7
5/11/19,8.7
5/12/19,8.7
5/13/19,8.58
5/14/19,8.6
5/15/19,8.61
5/16/19,8.58
5/17/19,8.51
5/18/19,8.51
5/19/19,8.51
5/20/19,8.49
5/21/19,8.54
5/22/19,8.54
5/23/19,8.47
5/24/19,8.5
5/25/19,8.5
5/26/19,8.5
5/27/19,8.5
5/28/19,8.49
5/29/19,8.51
5/30/19,8.53
5/31/19,8.54
6/1/19,8.54
6/2/19,8.54
6/3/19,8.6
6/4/19,8.6
6/5/19,8.59
6/6/19,8.59
6/7/19,8.63
6/8/19,8.63
6/9/19,8.63
6/10/19,8.66
6/11/19,8.72
6/12/19,8.68
6/13/19,8.68
6/14/19,8.65
6/15/19,8.65
6/16/19,8.65
6/17/19,8.64
6/18/19,8.72
6/19/19,8.79
6/20/19,8.86
6/21/19,8.87
6/22/19,8.87
6/23/19,8.87
6/24/19,8.87
6/25/19,8.82
6/26/19,8.83
6/27/19,8.88
6/28/19,8.89
6/29/19,8.89
6/30/19,8.89
7/1/19,8.95
7/2/19,8.95
7/3/19,8.94
7/4/19,8.95
7/5/19,8.95
7/6/19,8.95
7/7/19,8.95
7/8/19,8.85
7/9/19,8.85
7/10/19,8.93
7/11/19,8.96
7/12/19,8.96
7/13/19,8.96
7/14/19,8.96
7/15/19,8.95
7/16/19,8.95
7/17/19,8.93
7/18/19,8.94
7/19/19,8.94
7/20/19,8.94
7/21/19,8.94
7/22/19,8.94
7/23/19,8.95
